pitch_id	WITHOUT_gender_Prediction	WITH_gender_Prediction	isFemale	Real_Received_Offer	keywords
S01E01P01	1	1	0	1	high sales,strong demand,clear market interest,scalable product,profitable business model
S01E01P02	0	0	0	0	invasive surgery,health risks,investor discomfort,ethical concerns,practicality issues
S01E01P03	0	0	0	0	unclear revenue model,high initial cost,dependency on ad sales,complex implementation
S01E01P05	0	1	0	1	unclear differentiation,existing successful business,high equity ask,investor concerns about new venture viability.
S01E02P01	0	0	0	0	limited market penetration,low sales volume,lack of trade show success,highly competitive market,unproven business model
S01E02P02	0	0	0	1	installation complexity,consumer inconvenience,scalability concerns,market adoption challenges
S01E02P05	1	1	0	1	education,innovative teaching tool,copyright ownership,nationwide market potential
S01E03P02	1	1	0	0	environmental impact,innovative recycling,unique product,market potential,reasonable valuation.
S01E03P04	0	0	0	0	limited sales,prototype stage,high valuation,unproven market demand,high risk.
S01E03P05	0	0	0	1	high valuation,niche market,product durability concerns,demonstration clarity
S01E04P01	0	0	0	1	low sales figures,high risk,unclear scalability,competitive market,investor concerns
S01E04P03	0	0	0	0	no existing orders,high risk,novelty item,unproven market demand,significant personal investment without sales.
S01E04P04	0	0	0	1	niche market,unclear revenue model,product vs. system confusion,investor concerns unaddressed
S01E05P01	0	0	0	1	lack of personal use,prototype stage,unclear market strategy,health concerns,unclear pitch and demonstration effectiveness.
S01E05P03	0	1	0	0	niche market,personal story,limited experience,regional success
S01E05P05	0	1	0	1	saturated market,unclear differentiation,investor concerns,financial clarity needed,high competition in wellness tech
S01E06P01	1	0	0	1	customization,personalization,health trend,engaging presentation,clear value proposition"
S01E06P02	0	1	0	0	niche market,novelty item,limited appeal,scalability concerns
S01E06P05	0	1	0	1	niche market,early stage,high valuation,limited traction,competitive industry
S01E07P02	0	0	0	0	entertainment value,high risk,niche market,location cost
S01E07P04	1	0	0	1	unique product,gluten-free,large market potential,interest from major competitor,provisional patent
S01E08P01	1	1	0	1	innovative solution,strong market potential,proven traction,scalable business model,appealing to investor interests.
S01E08P03	0	0	0	0	low sales,high competition risk,scalability concerns,lack of innovation (non-patentable product)
S01E08P04	1	1	0	0	fashion industry experience,profitable,international presence,strong retail partnerships,appealing product,reasonable valuation.
S01E09P01	0	0	0	1	saturated market,lack of unique selling proposition,high competition,unclear distribution strategy,investor concerns unaddressed
S01E09P03	0	0	0	0	high investment ask,niche market,complex technology,unclear demonstration impact
S01E10P02	0	0	0	1	high equity offer,control relinquishment,product uniqueness unclear,investor skepticism,early stage
S01E10P05	1	1	0	1	innovative product,market validation through sales,media attention,unique design,no marketing spend yet successful sales.
S01E11P01	0	0	0	1	niche market,unclear differentiation,existing successful business,investor confusion,valuation concerns
S01E11P03	0	0	0	1	niche market,high equity ask,limited appeal,gender-specific product,potential design and practicality issues.
S01E11P04	0	1	0	1	saturated market,unclear revenue model,compliance risks,high competition
S01E12P03	0	0	0	0	niche market,limited sales,lack of business experience,unclear financials
S01E12P05	0	0	0	0	low sales,high competition,early stage,unclear financial projections,sustainability concerns.
S01E13P01	0	0	0	0	low sales,limited differentiation,early stage,high competition in eco-friendly apparel.
S01E14P02	0	0	0	0	low daily revenue,high product cost,unclear scalability,limited investor appeal.
S01E14P03	0	0	0	1	niche market,prototype stage,unclear market demand,novelty factor,competition in sweetener market
S01E15P02	0	0	0	0	lack of focus,multiple unrelated products,unclear business model,investor confusion.
S01E15P04	0	0	0	1	niche market,patent pending,early stage,limited proof of concept,high valuation
S02E01P01	1	1	0	1	innovative product,proven market demand,retail partnership with nordstrom,strong sales growth,scalable business model.
S02E01P03	0	0	0	0	high valuation,low sales,narrow margins,competitive market
S02E01P04	1	1	0	1	innovative product,large market potential,existing sales and distribution,premium niche,investor interest in unique consumer goods.
S02E02P02	0	1	0	0	niche product,novelty item,limited market potential,scalability concerns,prototype stage,investment size vs. return potential
S02E02P03	0	0	0	0	niche market,limited appeal,high production cost,safety concerns,competitive market
S02E02P04	1	0	0	1	innovative product,proven effectiveness,substantial pre-market order,clear market need,health sector appeal
S02E03P02	0	0	0	0	overpromising,lack of clarity,unrealistic claims,entertainment over substance
S02E03P04	1	1	0	1	unique product,demonstrated sales,patent concern addressed,high market potential,engaging pitch
S02E04P02	0	0	0	0	niche market,limited shelf life,unclear competitive advantage,small investment ask,lack of detailed business model and financials.
S02E04P03	0	0	0	1	niche market,limited product diversity,early stage,unclear financials,high equity ask
S02E04P04	0	0	0	1	unclear value proposition,novelty item,limited market appeal,high valuation concern
S02E05P04	0	0	0	1	no sales,prototype stage,patent pending,niche market,entertainment value
S02E06P01	0	0	0	0	niche market,unclear presentation,limited appeal,potential hygiene concerns,investor skepticism.
S02E06P02	0	0	0	1	disrespectful tone,lack of clarity,unprofessional,high equity demand,unclear business model
S02E06P04	1	1	0	1	unique entertainment concept,proven franchise model,national presence,high engagement product,scalable business.
S02E07P01	1	1	0	1	innovative product,strong sales,unique technology,sustainability,entertainment value
S02E07P02	0	0	0	0	niche market,novelty product,limited appeal,uncertain scalability,entertainment value high but business viability questionable.
S02E07P04	1	1	0	1	lifesaving product,clear demonstration,experienced entrepreneur,large market potential,strong emotional appeal
S02E08P03	0	0	0	1	high equity ask,niche market,unclear mass market appeal"
S03E01P01	1	1	0	1	innovative product,solves common problem,unique design,demonstrated marketing creativity,environmental appeal
S03E01P03	0	1	0	0	niche market,high cost,scalability concerns,limited appeal
S03E01P04	1	1	0	1	unique service,nightlife market,proven revenue in miami,scalable model,entertainment value,addresses real problem
S03E02P01	0	0	0	1	unclear pitch,low professionalism,niche market,lack of business model clarity,entertainment value not aligned with investment seriousness.
S03E02P02	0	0	0	1	lack of detailed financials,high equity offer,unclear market potential,overemphasis on personal selling history,lack of demonstrated business scalability.
S03E02P03	0	0	0	0	entertainment saturation,high investment ask,unclear financials,niche market,execution risk
S03E03P01	1	1	0	1	innovative product,large market potential,entertainment value,strong profit margin,patented technology.
S03E03P02	0	0	0	1	niche product,limited market appeal,low sales figures,retail challenges,novelty item
S03E03P03	0	0	0	0	unclear pitch,early stage,niche market,prototype phase,high equity ask.
S03E04P04	1	1	0	1	innovative solution,large market,entertainment value,patent pending"
S03E05P03	1	1	0	1	unique product,strong sales growth,celebrity endorsement (oprah),appealing to luxury market,experienced in market trends.
S03E06P01	1	1	0	0	innovative,patented technology,market need,simplified assembly,broad application potential
S03E06P03	0	0	0	0	skeptical,health claims,scientific validity,entertainment value,product differentiation
S03E06P04	0	0	0	1	niche market,product differentiation unclear,potential scalability issues,lack of demonstrated sales,high valuation concern
S03E07P01	0	0	0	1	unprofessional pitch,lack of focus on business fundamentals,inappropriate comments,unclear market research,entertainment over substance.
S03E07P03	0	0	0	0	unclear pitch,complex personal story,lack of focus,technical explanation needed,market potential unclear,investment size for equity offered.
S03E07P04	1	1	0	1	innovative product,large market potential,licensing opportunities,patented technology,clear pitch.
S03E08P01	0	0	0	0	unclear pitch,confusing presentation,niche market,lack of financial details,unclear business model
S03E08P02	0	0	0	1	low sales since 2009,unclear business growth,reliance on personal funds,limited market penetration.
S03E08P03	0	0	0	0	niche market,limited scalability,novelty concept,short operational history,potential legal and hr complexities.
S03E09P01	1	1	0	1	growing market,high demand,proven sales,appealing product,direct-to-consumer model
S03E09P03	1	1	0	0	innovative product,large market (wine consumers),clear problem and solution,engaging presentation,reasonable valuation.
S03E09P04	0	1	0	1	high valuation,early stage,niche market,entertainment gimmick,lack of financial details.
