pitch_id	prediction	isFemale	Gender_Revealed	Real_Received_Offer	keywords
S01E01P01	1	0	0	1	high sales,strong demand,clear market interest,scalable product,profitable business model
S01E01P01	1	0	1	1	high sales,proven demand,scalable product,clear market need,strong profit margins,engaging presentation.
S01E01P02	0	0	0	0	invasive surgery,health risks,investor discomfort,ethical concerns,practicality issues
S01E01P02	0	0	1	0	invasive surgery,health risks,investor discomfort,high regulatory hurdles,niche market
S01E01P03	0	0	0	0	unclear revenue model,high initial cost,dependency on ad sales,complex implementation
S01E01P03	0	0	1	0	confusing pitch,unclear revenue model,high initial cost,dependency on ad sales,investor confusion.
S01E01P04	0	1	0	1	unclear presentation,niche market,prototype stage,lack of business model,investor concerns unaddressed
S01E01P04	0	1	1	1	unclear presentation,niche market,prototype stage,investor concerns unaddressed
S01E01P05	0	0	0	1	unclear differentiation,existing successful business,high equity ask,investor concerns about new venture viability.
S01E01P05	1	0	1	1	experienced entrepreneurs,proven track record,scalable business model,clear market need,professional service offering.
S01E02P01	0	0	0	0	limited market penetration,low sales volume,lack of trade show success,highly competitive market,unproven business model
S01E02P01	0	0	1	0	limited market penetration,lack of trade show success,high competition,early stage,unproven demand
S01E02P02	0	0	0	1	installation complexity,consumer inconvenience,scalability concerns,market adoption challenges
S01E02P02	0	0	1	1	installation complexity,consumer inconvenience,scalability concerns,market adoption challenges.
S01E02P03	0	1	0	1	low profit margins,high valuation concerns,better financing options needed
S01E02P03	0	1	1	1	low profit margins,high valuation concerns,better financing options needed,investor skepticism on financials.
S01E02P04	0	1	0	0	no sales,unclear market demand,skepticism from investors,high valuation with no proven track record.
S01E02P04	0	1	1	0	no sales,unclear market demand,valuation concerns,investor skepticism
S01E02P05	1	0	0	1	education,innovative teaching tool,copyright ownership,nationwide market potential
S01E02P05	1	0	1	1	educational need,innovative solution,scalable product,copyright ownership,entertainment value
S01E03P01	0	1	0	1	non-working prototype,lack of physical product,high equity ask,unclear manufacturing cost,incomplete development stage.
S01E03P01	0	1	1	1	non-working prototype,lack of physical product,high risk,incomplete development,uncertain manufacturing costs.
S01E03P02	1	0	0	0	environmental impact,innovative recycling,unique product,market potential,reasonable valuation.
S01E03P02	1	0	1	0	sustainability,recycling,unique product,market potential,environmental impact
S01E03P03	0	1	0	1	niche market,limited scalability,unclear financials,high competition in children's books and wellness products.
S01E03P03	0	1	1	1	niche market,lack of financial details,high valuation,limited appeal
S01E03P04	0	0	0	0	limited sales,prototype stage,high valuation,unproven market demand,high risk.
S01E03P04	0	0	1	0	limited sales,prototype stage,high valuation,unclear market potential,high risk.
S01E03P05	0	0	0	1	high valuation,niche market,product durability concerns,demonstration clarity
S01E03P05	0	0	1	1	high valuation,niche market,product demonstration concerns,unclear financials
S01E04P01	0	0	0	1	low sales figures,high risk,unclear scalability,competitive market,investor concerns
S01E04P01	0	0	1	1	low sales figures,unclear profit margins,high risk,competitive market,operational challenges
S01E04P02	0	1	0	0	niche market,emotional appeal,unclear financials,product uniqueness,investor interest
S01E04P02	1	1	1	0	inspirational story,unique product,emotional appeal,female entrepreneurship,social impact.
S01E04P03	0	0	0	0	no existing orders,high risk,novelty item,unproven market demand,significant personal investment without sales.
S01E04P03	0	0	1	0	no existing orders,high risk,novelty item,uncertain market demand,significant personal investment without proof of concept.
S01E04P04	0	0	0	1	niche market,unclear revenue model,product vs. system confusion,investor concerns unaddressed
S01E04P04	0	0	1	1	niche market,unclear revenue model,product vs system confusion,investor concerns unaddressed
S01E04P05	1	1	0	1	unique product,multiple customer channels,existing sales,retail partnership with target,hospitality industry potential.
S01E04P05	1	1	1	1	unique product,multiple revenue streams,existing sales,market potential,female entrepreneurs
S01E05P01	0	0	0	1	lack of personal use,prototype stage,unclear market strategy,health concerns,unclear pitch and demonstration effectiveness.
S01E05P01	0	0	1	1	lack of personal use,unclear demonstration,prototype stage,uncertain pitchman role,production and sales plan vague.
S01E05P02	0	1	0	0	lack of professionalism,unclear business model,unproven product efficacy,niche market,potential reputational risk for hospitals
S01E05P02	0	1	1	0	lack of professionalism,unclear business model,unproven product efficacy,niche market,potential reputational risk for hospitals
S01E05P03	0	0	0	0	niche market,personal story,limited experience,regional success
S01E05P03	1	0	1	0	unique product,diabetic-friendly,personal story,market validation (whole foods),appealing to investor (kevin)
S01E05P04	0	1	0	0	niche market,low sales,competition with established funeral homes,lack of unique value proposition,need for greater exposure
S01E05P04	0	1	1	0	niche market,low sales,high competition,lack of differentiation,investor concerns
S01E05P05	0	0	0	1	saturated market,unclear differentiation,investor concerns,financial clarity needed,high competition in wellness tech
S01E05P05	1	0	1	1	mental health,ai-driven,scalable,existing customers,revenue model,low overhead costs
S01E06P01	1	0	0	1	customization,personalization,health trend,engaging presentation,clear value proposition"
S01E06P01	0	0	1	1	niche market,high valuation,customization complexity,investor skepticism
S01E06P02	0	0	0	0	niche market,novelty item,limited appeal,scalability concerns
S01E06P02	1	0	1	0	innovative product,entertainment value,interactive pitch,market potential in toys and novelty items,clear demonstration,engaging presentation.
S01E06P04	0	1	0	0	high competition,early stage,financial instability,lack of sales history
S01E06P04	0	1	1	0	saturated market,early stage,financial instability,lack of sales history
S01E06P05	0	0	0	1	niche market,early stage,high valuation,limited traction,competitive industry
S01E06P05	1	0	1	1	gourmet product,national recognition,passionate founders,reasonable valuation,popular food category,entertainment value
S01E07P01	1	1	0	1	unique product,clear problem and solution,existing sales,personal story,health motivation,market presence
S01E07P01	1	1	1	1	unique product,clear problem and solution,existing sales,personal story,resilience,market presence
S01E07P02	0	0	0	0	entertainment value,high risk,niche market,location cost
S01E07P02	0	0	1	0	high risk,niche market,location cost,entertainment sector volatility
S01E07P03	0	1	0	0	high equity offer,niche market,unclear financials,lack of sales,entertainment value
S01E07P03	0	1	1	0	high equity offer,niche market,outdated medium (dvd),lack of sales data
S01E07P04	1	0	0	1	unique product,gluten-free,large market potential,interest from major competitor,provisional patent
S01E07P04	0	0	1	1	home production,limited scalability,early negotiation stage,manufacturing capacity concerns.
S01E08P01	1	0	0	1	innovative solution,strong market potential,proven traction,scalable business model,appealing to investor interests.
S01E08P01	1	0	1	1	innovative solution,strong market validation,scalable business model,clear revenue generation,appealing to investor interests.
S01E08P02	1	1	0	1	innovative product,patented,market validation,existing sales,clear use of funds,scalability potential
S01E08P02	1	1	1	1	innovative product,proven market interest,sales traction,clear use of funds,appealing to children and parents,scalable opportunity
S01E08P03	0	0	0	0	low sales,high competition risk,scalability concerns,lack of innovation (non-patentable product)
S01E08P03	0	0	1	0	novelty item,low sales,scalability concerns,market competition,lack of patentability
S01E08P04	1	0	0	0	fashion industry experience,profitable,international presence,strong retail partnerships,appealing product,reasonable valuation.
S01E08P04	1	0	1	0	profitable,international presence,strong industry background,reasonable valuation,market demand
S01E09P01	0	0	0	1	saturated market,lack of unique selling proposition,high competition,unclear distribution strategy,investor concerns unaddressed
S01E09P01	0	0	1	1	saturated market,lack of unique selling proposition,unclear competitive advantage,investor concerns unaddressed
S01E09P03	0	0	0	0	high investment ask,niche market,complex technology,unclear demonstration impact
S01E09P03	0	0	1	0	inappropriate comment,unclear presentation,niche market,high investment request
S01E09P04	0	1	0	1	unclear pitch,lack of focus,emotional appeal,insufficient business details,market understanding questionable
S01E09P04	0	1	1	1	unclear pitch,emotional tone,lack of financial details,market misunderstanding.
S01E10P01	1	1	0	0	unique product,scalable business model,clear use of funds,demonstrated growth,entertainment value.
S01E10P01	1	1	1	0	unique product,scalable business model,clear use of funds,demonstrated growth,entertainment value.
S01E10P02	0	0	0	1	high equity offer,control relinquishment,product uniqueness unclear,investor skepticism,early stage
S01E10P02	0	0	1	1	high equity offer,control loss,product uniqueness unclear,investor skepticism,market differentiation unclear
S01E10P03	0	1	0	0	vague details,lack of professionalism,unclear business model,entertainment value low
S01E10P03	0	1	1	0	vague details,lack of professionalism,unclear business model,entertainment value low
S01E10P05	1	0	0	1	innovative product,market validation through sales,media attention,unique design,no marketing spend yet successful sales.
S01E10P05	1	0	1	1	innovative product,market validation (3000 units sold),media attention,unique design,no marketing spend yet successful sales
S01E11P01	0	0	0	1	niche market,unclear differentiation,existing successful business,investor confusion,valuation concerns
S01E11P01	0	0	1	1	confusing pitch,unclear business structure,existing successful business,investor confusion,separate entity concerns
S01E11P03	0	0	0	1	niche market,high equity ask,limited appeal,gender-specific product,potential design and practicality issues.
S01E11P03	0	0	1	1	niche market,product practicality,gender-specific,investor appeal,entertainment value,potential embarrassment
S01E11P04	0	0	0	1	saturated market,unclear revenue model,compliance risks,high competition
S01E11P04	1	0	1	1	unique solution,large market,sports appeal,celebrity endorsements potential,technology platform.
S01E12P03	0	0	0	0	niche market,limited sales,lack of business experience,unclear financials
