pitch_id,dv_received_offer,text
S01E01P04,1,"I can see you saved all the money for me. That's good. Still laying there. My name is Tiffany krumins. I'm from Auburn, Georgia, a city. You have never heard of. It's tiny about a mile wide. It has one light, but I have a great idea for you and hopefully you will want to invest in that. I'm asking you, ladies and gentlemen, lady and gentlemen, for fifty thousand dollar investment in turn, I'm offering you 15 percent of equity in my company for the past two and a half years. I've worked with a little boy named Gibby and I'm his Nanny, he has Down syndrome and because of that, he gets ear infections a lot. It came time to take out that medicine dropper every time and give you would go from Angel to pro wrestler. I mean, he just did not like the process. So I thought to myself, there has to be a better way to do this. So I'd like to show you how me this is her. You Medicine dropper out. You suck up the right amount of Medicine. Put it back in. And you would approach your kid and you would or child you're watching and you press the button. This is a thing. I came up with on my own. She says one, two, three open wide and then she tells him a good job and as you're doing that, you press it out in the math and it works every single time I don't care what your kid hates, they will open their mouths and smile and it will work. This is a homemade prototype and I'd like to hand these out to you guys. It's only for ear drops its nose. No sir, he had ear infections so we had to take medicine or Ali. What's for oral? Yes, it's all for floral any medication could I guess? Yeah. But doesn't the child at some point. Look at that. Elephant and say, that elephant gives me a lot of bad medicine and get unhappy with. I had an idea about that, don't give him one,"
S01E02P03,1,"Hi, my name is Susan app and I am the creator of a perfect pair from Napa Valley. I'm raising five hundred thousand dollars for a 15% Equity stake in my company. Oh, I turned my passionate hobby of making my signature products. Cinnamon pear, jelly into a business. It's evolved into a line of extraordinary award-winning, gourmet food products. But do you have sales? We've grown to over. One hundred thousand dollars in sales? Well, well, well, well, what's the net profit at the end of 2009? We expect our net profit to be two point. Four, three percent, it's about fifteen thousand dollars at the end of 2010, we expect our net profit to be 10.5%. How many total stores are you actually in We need the money to help us with production. I currently have over a hundred thousand dollars with orders. That our customers are eerily waiting for. You can't get financing from a bank or somebody else pretty difficult right now. Even a lot of the Angel Investors that are usually available in this market have been pretty difficult to reach. That's the real problem with what's happening in America. Today is people can't get credit No. Deserving people with real businesses and real orders can't get credit. My concern is is that you're not making really much profit 2% profit on 700,000 that's projected for this year. That's a fifteen thousand dollar profit. Don't you think what you're asking and valuing your company for is too high I personally have over 800 thousand dollars invested in this"
S01E02P04,0,"Hello, my name is Mary, Ellen, Simonson. I have created a product that would keep your sticky notes in place and organized, while working at your computer, I am here to ask for a hundred thousand dollars in Investments for 20% equity. In my company, I created this product because I was tired of losing sticky notes and having to reposition them all day long. This example here is example of what we're all used to seeing, there's been no change in it, if there's been no solution to it until today, you simply We attach it to your laptop or your desktop. And you put all you know to you can also attach it to this side around. You created a sticky pad for sticky pads. I created a sticky pads, that's worth half a million dollars. Yes, please tell me why all you simply do is, is Swing the sleeve in when you're ready to go. And as you can see, not Impala. Oh, I see why it's worth. Half a million dollars. Thank you. It folds into the computer. Of course, that makes sense to me. Now you've sold Many, I have sold. None. Excellent. Excellent. I think we should keep this a secret. It's so valuable that nobody should know about this. Come on, who's gonna buy this from you, this year alone, 56 million laptops will be sold here in the United States. Every one of them doesn't need your sticky are this year alone. Over 400 million laptops will be sold worldwide. How much is it worth? What would I pay for that? 954? You all the madness are you out of your mind? Yes, are you crazy? Yes. Who would give you 10 bucks for that? A lot of these are a lot of people, how do you know that? How do you know that? I've, I've done surveys. There's so many bad things about this. Let me count the ways Mary convince me why? This isn't the worst idea I've ever seen visual own. They will be 56 million lap and"
S01E03P01,1,"my name is Marian Crews. My product is the turbo baster. I'm seeking 35,000 dollars per investment and I'm willing to give up 30% equity in my company. I first came with this concept one Thanksgiving day. When I was cooking dinner for my family, I was using a traditional bulb baster, it was inefficient, it wasn't even holding any of the fluids. It splattered all over me and I thought there's got to be a better way. So I develop The turbo baster. It's going to replace the traditional baster the basting brush. It's also going to replace the injector marinade as well. So I created the turbo baster The turbo baster is going to be battery-operated. It's going to siphon up the juices more efficiently. It's also going to come with the silicone basting brush so you could base your foods and vegetables more efficiently. It's also going to come with an injector tip to inject your favorite marinades. It was amazing. It's like you're building a rocket. I've been working on this for five years and I think that anyone that loves to cook well need to have the turbo a stir in their kitchen. Got a question. Can you also use the same syringe to be a temperature gauge as well? Damon, you've never been in your kitchen. You don't even know where the kitchen your house is. You can base your hair with mousse. We can make a sale here too. How do you clean them? Well, it's going to come apart for easy, cleaning. Can you demonstrate that here? Well, this is a non working prototype. Oh, you don't have one yet? No. Oh you haven't built it. Know you built a great video. We have a look at that Marianne. Absolutely. What's your estimated cost of manufacturing? These things. Okay, I'm thinking fashion kitchen, colors, 1999. But stainless steel model 2999. And what are you going to make them for? You think"
S01E03P03,1,"I'm Lori light and the name of my company is stress, free kids. I'm asking you to invest 250,000 dollars in my company in exchange for 20%. I'm a Hands-On mom, that has dealt with real Stress and Anxiety, while raising my three children. My son was hyperactive every night. It took me two hours to put him to bed. Luckily, for me I learned to do stress. Management techniques that had an immediate effect on me, I wondered what would it be? Like, if I could get my son to do the same techniques, I began to create a story that entertained him, but at the same time Incorporated, an actual Stress Management technique to my amazement, my son, follow the law and fell asleep. Now, I have a whole line of books and CDs that help children, Nana, Stress while promoting their self-esteem and a more peaceful sleep, can you give me an example, a quick paragraph where something is, you know, sitting up here, again, with these people. Lot of stress, Lori, what you're going to read to us, you write that yourself? Yes. I not only wrote, but I produced and I published. Wow. Okay, this is angry octopus. This is an example of using Progressive muscular relaxation and thus each. Child continued tighten the muscles in your chest, your neck and your shoulders. Come on guys. Do it tighten them is tight as you can hold, hold pulled. Now let the air out of your mouth and feel all the tension in your chest neck and shoulders drift away very good. Yeah, the words are very, very soothing. How much have you made in sales of this stuff?"
S01E04P02,0,"My name is Gina petronio. I'm the founder of Soul's Calling Incorporated and I'm here asking for a hundred and fifty thousand dollars for 25% equity in my company. Soul's Calling is gifts and accessories, everything has a positive message on it and positive energy in it. The line really kind of started out of a healing process in 1997. While living in Dallas, I survived an attack in my apartment and due to the nature of the crime. It became very high profile and my story was told Lots of places. And as that happened, I noticed something that what this one person had done to me. This one - action really spread out as a ripple effect and affected literally millions of people. And I thought that if somebody could affect millions of people with a negative action, then somebody could affect millions of people with a positive action and Soul's Calling was born out of that in 2004. I decided I could really maybe potentially make a business out of this and the first object that I With is the Inspiron umbrella. These all have happy sayings on them. This one says, let your smile be sunshine. You know how many people have walked down a New York Street and see nothing but black umbrellas, you know, that is kind of depressing and if somebody were to carry one of these and how many people might see this message and be affected by that in a positive way. And after that came the connection bracelet, it comes in two pieces they snap together. Each piece says, we are all connected. So I'm just giving you those as a reminder. Oh cool. Thank you. The next object that came up for soul Seeker. Sandals. These leave words in the sand when you walk, what a great idea. Lori is going to demonstrate in the sand. The bottoms are recycled flip-flops and rubber 30% and the straps are natural rubber I guess you've been doing this for years. What are your sales? Like just give me dollar numbers for the last two years."
S01E04P05,1,"Hello. I'm Amy. I'm Allison a door from cover play. We're here today to ask for a three hundred, fifty thousand dollar investment for 15% equity and cover play. This is a play yard and they are used in people's homes. They're used on cruise ships. They're used on in daycare and they are a disgusting mess. They spill they pooping, nan This is a petri dish of what goes on in a typical player but then we your precious little baby goes in here, the baby. We actually have the only solution come on. Let's go over here. is the first and only slipcover for play yard. So you bring that with you. Wherever you go, is that the idea, well, the hotels can provide it for the guests as well. So, Amy, who's the customer? Is it the hotel or the We have multiple multiple customers, the on one end. It's the retail. It's the actual consumer. So it's the grandparent or it's the parent using it. And it's also we can sell the hospitality industry. They can use it as a retail outlet as well because they can offer it to their guests to for a purchase, we launched our product, it hits the shelves in August of this past year and we launched in Target. I'm impressed and the number is and the number is we've done two hundred thousand dollars so far."
S01E05P02,0,"Hi, my name is Irina block and today, I'd like to introduce you one of my products it's called face block. I'm looking for a 50 thousand dollar investment in exchange of 30% of my product. So, face block is a collection of fashion surgical masks. Its design For people that edgy sense of humor, I want to express themselves, taking something sterile and uninteresting as a surgical mask and infusing it with fun, and creativity creates a really unique product. See for yourself. Try it on. I think I'll pass. He's the perfect guy for this mess. All right. Now, how do I put it on? Just, just put it on. Does it have real? Surgical properties, in terms of protecting against disease, that's when the investment comes in. That's really vestment comes in. They were let me see yours. He's wearing it wrong. Hey listen I'm trying to make some money here. Tell me if this works or not. So you're saying these prototypes are not made from the true surgical masks. designed for us. Abilities are endless. I'm sure. So I see face block at every hospital. Do you think hospitals may have a problem putting a pig snout on to a doctor's face the head of American Pediatric? Ward had Looked at me when they saw this mask on the set, they think it's genius. They want to have those masks have any interest and he sails"
S01E05P04,0,"Farrar and I'm the owner of good grief celebrations. I'm here today to ask the shark tank for 50,000 dollars in exchange for 25% equity in my company. So good. Great celebrations is a funeral concierge service as a funeral concierge company. We're happy to write the eulogy. Officiate the funeral service and handle all of the post-funeral family gathering details. The celebration of life movement is gaining tremendous momentum. We offer celebration of life party planning. Michael Jackson had one Richard Pryor had one. Bernie Mac. My mother is, well, Ricky, do you have any sales? Yes, I've had last year, eleven thousand dollars in sales. Ricky. How did you come up with this idea? Actually came up with this idea of my mother passed away. Two years ago, she had me plan, her funeral and she kept on saying that she wanted to have a celebration of life party. And if she didn't want it to be fed with a bunch of Tears, So actually planned an amazing party for her. We had a DJ, we had an open bar to serve their favorite drinks. Rick and people kept coming up to me. I'm sorry if I could just answer this question. Thank you, people kept on coming up to me telling me that it was such a great idea and that, you know, you should think about turning into a business you don't have a problem with your mom passing away and people drinking at a bar. Absolutely. And it's a celebration of life. Robert, we Irish do that every day. Irish wake. Yes. Absolutely. I love this business. People are dying to get in. There's no question about it. There's never a better time. Time to upsell, then when a family is stricken with grief because they're not really looking at the margins. Any that fits you so? Well, that sounds so much like I'm dealing with facts. This is why the funeral business is wonderful, lots and lots of clients. The problem is everything you've listed with the exception. Perhaps of the party celebration planning is incorporated into most funeral home business models. Tell me why you think you can compete with every funeral home and you don't have one yourself and that's why your sales are so low. The reason why my cells are so low is because of exposure, people don't know the celebrates exist, okay?"
S01E06P04,0,"I'm Kimberly Casey and these are the lovely ladies of Team calyx. My company is calyx Technologies tonight, we're seeking a hundred and twenty-five thousand dollars in exchange for 20% equity in our business a calyx Technologies. We believe that when a woman exercises balls, are the only thing that should bounce, I know the subject or bouncing breasts might be laughable to some people. However, exercise-induced breast pain is a serious problem that affects millions of women, every Caleb sports bra, is designed to be a As fashionable feminine flattering as it is functional. As you can see, we have eight bras in our line. Each of these bras has been engineered to work with a woman's body, depending on what type of activities she enjoys. Let me show you what I mean. First up is, our enlightened line of bras. These are comfortable and supportive, but they're a little bit sexy, next up are extremely these. These are bras designed for women that like to go fast and aren't afraid to fall down. Last up are Elite athletes. These bras are designed for, In that are going for the gold. Each of these bras incorporates are patentable Caleb's power sling. A wireless mesh insert designed to restrict rest motion across multiple planes. Making it possible for women to exercise without pain and Kimberly, you have to sales versus a brand. New startup, we are a brand new company. We've been about three years in development right now, we have a waiting list of over 250 women who are eager to buy our products and we just got our first order from a retail store a few days ago. Called the full cup. You have a projection of what your sales will be this year, we've had a rough, go of it. Some people might not want to admit what I'm about to say, calyxes, really running on fumes, right now. I've put my life savings into this business. How much have you put into this? I probably put over a hundred thousand dollars of my own money. There are many, many sports bras out. There,"
