Pitch_id,Season_id,Total_speech_segments,Total_speech_segments_ENTRE,Total_speech_segments_INVES,Total_questions_INVES,Season_ID,Beauty_score,Age,BMI,GenderFemale,GenderMale,GenderMixedTeam,EthnicityBlack,EthnicityWhite,EthnicityAsian,EthnicityMixedTeam,IndustryChildrenEducation,IndustryFashionBeauty,IndustryFitnessSportsOutdoors,IndustryFoodandBeverage,IndustryHealthWellnessCleaning,IndustryLifestyleHome,IndustrySoftwareTech,IndustryPetProducts,IndustryOther,Revenue_ModelProductionTransacti,Revenue_ModelSubscriptionmodel,Revenue_ModelRentalorleasingmode,Revenue_ModelOther,Retail_EcommerceRetail,Retail_EcommerceOnline,Retail_EcommerceBothNone,Has_PatentYES,Has_PatentINPROGRESS,Has_PatentNO,Num_of_Presenters,Has_Debt,Seasonal,Num_of_Sales_Last_Year_USD,Num_of_Sales_Last_Year_USD_resc,Asked_Amount_USD,Asked_Equity_PCT,DV_Received_Offer,DV_Close_Deal,DV_Deal_Valuation_Divided_by_Ini,DV_Royalty_Deal,DV_Loan_Deal,DV_Num_Sharks_that_Closed_Deal,DV_Deal_Amount_USD,DV_Deal_Equity_PCT,DV_Deal_Valuation,DV_Updated_in_later_Episode,VOICE_pitch_avg_ENTRE_ALL,VOICE_harmonicity_avg_ENTRE_ALL,VOICE_jitter_avg_ENTRE_ALL,VOICE_shimmer_avg_ENTRE_ALL,VOICE_tempo_avg_ENTRE_ALL,VOICE_loudness_avg_ENTRE_ALL,VOICE_articulationrate_ENTRE_ALL,VOICE_neutral_avg_ENTRE_ALL,VOICE_calm_avg_ENTRE_ALL,VOICE_happy_avg_ENTRE_ALL,VOICE_sad_avg_ENTRE_ALL,VOICE_angry_avg_ENTRE_ALL,FACE_smiling_avg_ENTRE_ALL,FACE_happy_avg_ENTRE_ALL,FACE_neutral_avg_ENTRE_ALL,FACE_sad_avg_ENTRE_ALL,FACE_angry_avg_ENTRE_ALL,TEXT_financial_sent_ENTRE_ALL,TEXT_generic_sent_ENTRE_ALL,TEXT_happy_avg_ENTRE_ALL,TEXT_sadness_avg_ENTRE_ALL,TEXT_anger_avg_ENTRE_ALL,TEXT_trust_avg_ENTRE_ALL,TEXT_conflict_avg_ENTRE_ALL,TEXT_socialsupport_avg_ENTRE_ALL,TEXT_similarity_avg_ENTRE_ALL,TEXT_respect_avg_ENTRE_ALL,TEXT_knowledge_avg_ENTRE_ALL,TEXT_power_avg_ENTRE_ALL,TEXT_fun_avg_ENTRE_ALL,TEXT_identity_avg_ENTRE_ALL,TEXT_romance_avg_ENTRE_ALL,TEXT_LD_mtld_ENTRE_ALL,TEXT_LS_word_ENTRE_ALL,TEXT_uncertainty_ENTRE_ALL_D1,VOICE_pitch_avg_INVES_ALL,VOICE_harmonicity_avg_INVES_ALL,VOICE_tempo_avg_INVES_ALL,VOICE_articulationrate_avg_INVES,VOICE_neutral_avg_INVES_ALL,VOICE_calm_avg_INVES_ALL,VOICE_happy_avg_INVES_ALL,VOICE_sad_avg_INVES_ALL,VOICE_angry_avg_INVES_ALL,FACE_smiling_avg_INVES_ALL,FACE_happy_avg_INVES_ALL,FACE_neutral_avg_INVES_ALL,FACE_sad_avg_INVES_ALL,FACE_angry_avg_INVES_ALL,TEXT_financial_sent_INVES_ALL,TEXT_generic_sent_INVES_ALL,TEXT_happy_avg_INVES_ALL,TEXT_sadness_avg_INVES_ALL,TEXT_anger_avg_INVES_ALL,TEXT_trust_avg_INVES_ALL,TEXT_conflict_avg_INVES_ALL,TEXT_socialsupport_avg_INVES_ALL,TEXT_similarity_avg_INVES_ALL,TEXT_respect_avg_INVES_ALL,TEXT_knowledge_avg_INVES_ALL,TEXT_power_avg_INVES_ALL,TEXT_fun_avg_INVES_ALL,TEXT_identity_avg_INVES_ALL,TEXT_romance_avg_INVES_ALL,TEXT_LD_mltd_INVES_ALL,TEXT_LS_word_INVES_ALL,TEXT_uncertainty_INVES_ALL_D1
S01E01P01,1,36,14,22,8,1,54.058739,30.574804,33.023674,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,850000,8.5,460000,10,1,1,.2,0,0,2,460000,50,920000,1,164.86365,9.2135382,.026668062,.12240367,115.87961,-20.215591,4.6144261,1.3164964,5.2757697,8.7718649,84.14328,.49257645,.88242781,1.3825154,5.0019617,.19411168,2.6986647,.043941543,.18758705,66.387947,1.8734344,26.513626,6.2640314,4.151885,7.6900525,.66743457,2.7145026,85.904083,24.942932,4.5816755,8.5887957,.40764397,.65568715,11167.855,4,140.11003,7.4376593,122.81077,3.9807856,.090436786,88.303986,8.72931,.025651813,2.8506026,7.8483515,4.2654648,6.0456653,1.0424674,7.807056,-.057251465,-.019012189,58.165073,6.6574969,29.86648,3.4281347,20.607306,32.37487,4.3439379,3.7049742,67.647461,28.16917,9.9409847,4.9652848,.14943005,.49346733,11776.353,3
S01E01P02,1,25,11,14,5,1,59.076496,38.940205,32.268322,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1000000,15,0,0,,,,0,,,,0,128.43823,7.6863647,.029293137,.1311902,137.65025,-21.426857,4.1700449,.075707845,64.424622,31.868519,.33985785,3.2912471,12.751441,18.692945,2.0679865,.3280119,18.685625,-.054043405,.00801183,57.236935,1.8208369,28.123117,2.595294,14.963628,12.29353,3.0521569,6.8881373,85.746567,6.3384314,.6417647,4.422255,.70294118,.40388167,12067.696,1,169.08278,7.4793301,116.10605,3.7892044,.039828572,73.265236,23.938072,.53761429,2.2192628,16.392994,8.9811535,8.2295313,1.8016067,13.094752,-.10493045,-.36454669,34.36731,4.837328,44.360191,5.7674284,49.887428,19.280144,8.3668575,13.206285,71.004143,9.4745712,3.6105714,7.1595716,9.6190004,.35833904,10911.529,1
S01E01P03,1,23,9,14,3,1,51.27919,43.023922,32.846577,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1200000,10,0,0,,,,0,,,,0,133.57808,8.6589251,.026636083,.10679588,106.24155,-17.431568,4.3839784,.49239278,44.705887,53.492424,.95511752,.35411751,2.9727013,7.5144291,3.964596,.58965099,1.6248955,.044776693,-.043821793,62.830563,7.0866594,24.02425,3.0582473,10.852268,9.3967009,.53793812,3.3328867,90.873299,2.417732,12.422371,1.7557732,.012680412,.48065397,10349.583,0,139.03334,6.6457348,148.06764,3.9687617,.65383178,68.964111,17.337091,.72666448,12.318289,4.3029299,5.889564,7.6206169,.161378,4.8181281,-.063305087,-.30502814,50.285702,4.3224149,36.382072,2.8522429,38.326637,17.105047,.25392523,10.851776,58.018784,19.205048,.11560748,2.0972898,.18392523,.35825428,10899.798,4
S01E01P04,1,34,14,20,6,1,69.847153,31.964457,25.532598,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,50000,15,1,1,.27272731,0,0,1,50000,55,90909,1,198.35916,9.1149607,.019498765,.10016111,118.46049,-19.252911,4.571403,.04669321,42.156544,57.730267,.056887653,.0096104937,7.6615052,6.7149639,.76194853,4.4274497,15.214628,-.0090659959,.076645821,63.34708,2.3033714,28.4466,3.6938889,15.710864,7.2950001,1.953395,3.4078395,89.655312,18.202408,.7548148,11.77463,2.4085803,.6117425,12183.207,6,158.23227,7.6761732,119.49741,4.1866255,.3508648,61.45504,33.629677,2.6254196,1.939,8.4593563,4.533607,3.4871528,2.4271772,17.100275,.011298309,-.005909435,67.655289,2.4875908,25.253866,3.6994367,18.884155,13.845634,2.173521,4.7642956,79.97451,61.570915,1.9539436,7.8183098,1.0676761,.42683715,12265.509,6
S01E01P05,1,43,17,26,9,1,62.214035,27.641783,28.344053,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,250000,25,1,0,,,,0,,,,0,147.54449,7.0902724,.028199354,.12358903,112.7253,-18.211218,4.3990574,1.7672709,16.353951,48.004169,.028754838,33.845848,29.202879,1.9375341,3.1310997,2.9421563,31.114279,.069639236,-.049614191,67.391129,2.3493063,25.742357,6.4770322,16.853935,10.210645,.25838709,4.0040646,89.636322,43.809032,.9523226,3.7794838,.021354839,.51199287,8807.751,2,151.948,7.3900971,120.30656,4.3005695,.14473024,57.705002,16.846302,.42601901,24.877945,15.562243,3.5431683,4.9215364,2.7948143,15.432101,.021636633,-.095125094,57.630131,2.280396,32.589153,3.4963903,43.908733,14.271268,2.7206342,6.6554632,65.174393,16.159756,.65009755,3.2687805,1.938,.47133243,12104.652,5
S01E02P01,1,34,12,22,7,1,64.548485,30.225758,26.238941,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,5000,.050000001,200000,20,0,0,,,,0,,,,0,145.19704,7.0310817,.021935767,.12191095,132.59131,-23.150272,4.1492677,.9624635,55.312153,6.8832474,.033416789,36.808689,4.7157359,1.0925719,1.3434052,1.2773197,5.5194788,.053430565,.26166335,65.618004,3.8472733,26.41433,1.1312408,9.1547441,8.5767155,.3230657,2.2110219,84.741531,13.214087,17.114452,12.144088,.028029198,.63815612,9703.0488,6,148.16737,6.8452935,117.58759,4.1395426,.0034084336,58.014233,5.9557438,1.4415832,34.584999,16.754456,1.5774378,6.0528164,1.5605427,12.604414,-.0071361181,-.058525149,66.197342,4.3764281,23.307953,3.0558434,26.013975,33.137772,4.2580724,18.056446,69.264519,13.766686,.47042167,14.875843,3.7936144,.33636671,12591.202,2
S01E02P02,1,28,9,19,6,1,58.762512,42.490784,29.613813,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,500000,10,1,0,,,,0,,,,1,116.79517,6.6652989,.027892308,.13004327,118.36549,-22.969149,4.2000394,.68560767,14.141596,56.991837,3.7135952,24.467373,.94675684,2.9467134,2.0191991,.49529314,.80969471,.048824117,.17912786,53.972351,6.9899511,29.469019,1.0921154,41.834614,3.8340385,.24461539,1.401827,89.956734,3.2285576,.063653849,2.5239422,.036249999,.49608174,11047.508,3,144.4809,5.8064594,120.53961,4.2882981,.13091667,84.698692,4.0491338,.1570963,10.964134,4.8864446,5.1842561,4.7497535,1.4716591,7.2890582,-.058707718,-.33213142,56.695812,4.0527377,35.598869,3.9237037,39.752529,7.790864,.00080246915,2.0453703,82.96994,16.936852,.0083333338,6.563889,.0096913576,.31079736,12750.063,1
S01E02P03,1,39,11,28,7,1,53.932747,51.549812,31.106771,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,700000,7,500000,15,1,1,.30000001,0,0,2,500000,50,1000000,1,217.40479,11.307136,.018736843,.096240789,121.32585,-20.191452,4.3533092,.20861974,98.63488,1.1306078,.024589473,.0013039474,42.526543,2.6871297,3.304837,4.0894146,43.305248,.062369302,.26630744,71.45842,1.4463352,22.040636,9.6847372,12.470263,29.534868,4.0407896,22.622236,75.159477,8.7122364,3.4397368,5.0493422,3.3376315,.29458919,11032.691,0,138.26973,6.5973248,117.64239,4.2969608,2.0628026,58.491127,9.7119961,.78509319,28.948978,8.7263794,3.0728118,6.3264275,1.0688226,10.443242,.020084247,.061657902,58.920258,1.9058278,32.091114,8.8981371,29.081429,20.148695,4.7298756,9.2399998,78.919319,21.519442,2.2875776,13.927578,1.8450931,.30910775,10526.554,1
S01E02P04,1,27,9,18,9,1,52.562328,43.992188,34.599079,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,100000,20,0,0,,,,0,,,,0,255.42508,8.9716864,.018646155,.11925077,112.38825,-19.838156,4.4967661,.000047692309,61.432877,19.738585,1.7357846,17.092709,1.6896328,6.8340359,.38130626,12.137636,3.5754313,-.031202514,.0048881075,50.436752,2.2670062,42.192249,26.582769,15.107693,9.3118458,.58415383,6.333231,87.910767,67.876152,6.0606155,9.5892305,1.2326154,.43118814,11368.038,0,177.69707,6.4308486,119.70951,4.271554,.84674299,76.225822,22.368492,.10945807,.44945592,6.5288033,5.0390577,7.9517603,.50711387,7.4721603,-.032331254,-.093941435,59.250488,4.8144202,31.892109,4.5660214,37.866344,12.65215,.42698926,6.2255912,64.325165,21.628387,1.7013979,4.7564516,1.577742,.34020212,11510.667,2
S01E02P05,1,58,19,39,12,1,58.172382,34.242611,28.025105,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,250000,10,1,1,.1,1,0,5,250000,100,250000,1,149.17749,6.3129959,.02856319,.13515215,130.2075,-19.434364,4.2798877,3.7225895,73.673233,11.95549,.47991166,10.168777,10.063321,1.3735012,1.009112,1.0393227,6.9057693,.032741722,.15809099,66.143234,1.9515895,27.669413,6.8677912,20.0327,19.465092,1.6293252,11.011473,78.295647,5.4522085,.54631901,11.065399,.074723929,.27706593,12048.012,2,139.32159,6.4077663,123.54242,4.2884645,4.8244033,78.794334,8.4266052,1.4708806,6.4837661,7.4265585,5.3822627,4.4314146,1.6190364,8.7485924,.022404762,.061090715,62.169479,2.5686159,29.603079,7.9047751,22.88744,17.981037,9.6106577,13.269135,78.282211,16.0282,4.8707614,9.350934,1.861661,.42627114,11379.036,7
